,total_cases
13308,1908.0
8285,847.0
18894,12.0
19655,78.0
44689,26.0
43741,822060.0
39735,2.0
42032,10004.0
17126,285.0
30594,10.0
29632,5395.0
36036,7406.0
38854,7839.0
42843,137272.0
33594,3006.0
19970,963.0
28995,47799.0
9674,125084.0
28848,1037.0
48645,4229.0
24342,26473.0
30307,31.0
23452,8963.0
35558,320.0
49208,13745.0
8944,128.0
26703,855.0
334,59.0
8408,2088.0
40245,295053.0
81,6054.0
41436,2980.0
12518,97075.0
15924,119553.0
7787,146.0
6164,89.0
27024,17780.0
57175,9.0
56808,2149.0
30559,1779.0
46033,348936.0
25468,391044.0
36271,455055.0
49770,223578.0
26391,245864.0
6138,70.0
16431,784.0
32215,564.0
49920,825410.0
7794,146.0
59153,734.0
41654,4342.0
35652,2.0
57107,1.0
4970,76357.0
1066,854.0
2734,25322.0
35960,2.0
52291,770.0
57499,402.0
32851,1078.0
31082,113.0
35935,46327.0
33452,490.0
47180,1956.0
16036,216083.0
40933,132867.0
32372,6003.0
58543,1118.0
39138,974.0
8190,202540.0
26350,236989.0
28592,44391.0
22134,1460.0
32401,6153.0
41063,8.0
25749,28720.0
12908,23254.0
15435,859.0
2834,27956.0
5238,62123.0
48000,211479.0
43864,2223500.0
13801,7979.0
3294,6522.0
2171,1503222.0
27321,746.0
31069,107.0
33125,370.0
41922,1015137.0
14989,5399.0
40184,206512.0
21945,10598.0
47602,57921.0
33627,6042.0
45191,36.0
24655,721.0
32466,50.0
31793,33409.0
28045,36829.0
2931,14873.0
58114,8235.0
12776,17893.0
32429,4.0
16336,116303.0
14154,646312.0
44887,18.0
16578,29358.0
49940,1098320.0
34916,54064.0
46042,352601.0
57935,431.0
19764,3672.0
59269,8362.0
26294,178972.0
42974,8525.0
49098,9661.0
53094,3404.0
9827,3.0
16546,25820.0
20404,286339.0
51189,83114.0
48840,224665.0
13804,8643.0
46374,15981.0
16268,102513.0
38366,5170.0
52530,12269.0
26760,5395.0
46822,11.0
12206,5156.0
31338,1902.0
1729,92.0
33524,677.0
41281,760.0
51906,7459.0
37254,31.0
19004,191869.0
39388,78434.0
46120,31.0
51192,83578.0
17722,1056.0
20565,2719.0
21631,85681.0
43055,104533.0
39669,25325.0
28498,195.0
6174,99.0
41394,995.0
59188,4748.0
34901,44361.0
41994,1418.0
31837,48027.0
37645,50282.0
36522,15506.0
3429,44317.0
4177,164.0
21261,23.0
51177,79628.0
7937,1097.0
41365,396.0
39254,11839.0
24492,400483.0
29838,1745.0
4453,520690.0
3254,1617.0
4910,67002.0
19979,1010.0
6593,143371.0
29735,133.0
52948,1875.0
56576,1009.0
5859,1770.0
51118,50367.0
40882,99042.0
37978,1542.0
25782,36597.0
56584,1141.0
18036,7969.0
11798,314.0
6278,364.0
26073,106861.0
43091,115956.0
35738,324.0
21187,21.0
19910,626.0
5513,22.0
20112,123470.0
27845,204293.0
1028,754.0
57925,382.0
17250,656.0
8671,460.0
16951,5183.0
58457,88104270.0
15390,88.0
33437,447.0
17489,2814.0
54818,83.0
47,556.0
16325,112318.0
54524,129491.0
707,4997.0
42002,3660.0
50107,368.0
13064,4715.0
27634,12694.0
42536,593592.0
12310,201.0
12983,2101.0
34480,87512.0
27555,49.0
35824,5553.0
40822,44332.0
46254,10106.0
15171,16.0
32134,17767.0
51900,6991.0
9876,267.0
17011,35.0
49221,14336.0
17048,39.0
34494,142690.0
5076,206796.0
35389,38.0
31299,1714.0
46958,151.0
25873,91779.0
28023,33630.0
57120,1.0
10281,4679.0
15347,68.0
33470,612.0
35756,548.0
29514,1122.0
7053,92.0
21851,5260.0
31851,57.0
49066,1766.0
1540,15648.0
2958,16269.0
23084,31745.0
48896,630595.0
58635,2031.0
18148,97502.0
21250,23.0
40156,72460.0
23484,35222.0
45700,933.0
55040,23200.0
3013,18897.0
20037,2227.0
29014,55750.0
46537,14288.0
48862,482169.0
18136,91693.0
12085,1087.0
37173,1.0
49953,1328832.0
16917,5092.0
25902,47.0
23327,3065.0
52985,3004.0
30887,1.0
31148,1158.0
24224,9979447.0
18980,178719.0
51569,74422.0
52372,5799.0
32785,8.0
44862,15.0
34567,568621.0
32749,82246.0
39799,2131.0
27814,178378.0
48912,657627.0
28034,35356.0
27468,55055.0
37560,15821.0
37064,11373.0
27309,672.0
31978,12222.0
48723,24.0
8425,2381.0
5291,85042.0
20292,185750.0
53652,671.0
31874,121.0
24927,3513.0
10323,4829.0
10285,4679.0
47388,385.0
34202,342.0
21123,135114.0
5357,468213.0
4687,237.0
17844,5976.0
21413,94.0
5331,148981.0
53626,495.0
8731,606.0
48283,93737.0
29462,950.0
45398,732.0
51686,39.0
57133,1.0
49864,326612.0
58463,92353551.0
27442,11825.0
24293,4241.0
15018,5443.0
18700,7393.0
55441,98.0
41137,62.0
6187,113.0
33091,14159.0
17646,31.0
2938,15357.0
1366,148.0
43453,122673.0
51917,8403.0
12320,435.0
34385,545.0
54982,9801.0
25383,81757.0
25726,26372.0
46358,15735.0
980,113.0
23144,68620.0
22303,2441.0
34238,346.0
12914,1.0
36542,17256.0
54108,6669.0
31762,15659.0
31609,4008.0
14607,12875.0
44951,52.0
42052,14669.0
31783,28573.0
9041,275.0
